sha1,project_name,extra,wasted,rework,Change_Parameter_Type,Change_Return_Type,Change_Variable_Type,Extract_Attribute,Extract_Class,Extract_Interface,Extract_Method,Extract_Subclass,Extract_Superclass,Extract_Variable,Inline_Method,Inline_Variable,Merge_Attribute,Merge_Parameter,Merge_Variable,Move_Attribute,Move_Class,Move_Method,Parameterize_Variable,Pull_Up_Attribute,Pull_Up_Method,Push_Down_Attribute,Push_Down_Method,Rename_Attribute,Rename_Class,Rename_Method,Rename_Parameter,Rename_Variable,Replace_Attribute,Replace_Variable_With_Attribute,Split_Attribute,Split_Parameter,Split_Variable,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
5908959bba662fb07e2633ebbd1e9d99234f6291,Activiti,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
1b9525f2f240a60445c14ddbcef45ec01efc44e0,Activiti,185,411,153,0,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,4,1,3,18,10,8
ee40497e8da20486392e43614a3b84d05a0ce54b,Activiti,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c4233f5bcd5b4007838d603143ff01cdb34a0c2c,Activiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d8207b39d5d9d98af2763b0b8f62abc8485e259,Activiti,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
301028c91893691cd850315e2f42e1d6dca94ee0,Activiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
29bb7495edc0e931da0c335364dd3f5700b1a782,Activiti,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
3c80e0eeee8af6b96e443a776d8d7557a30e8825,Activiti,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,3,2
ad2c494fa2fb351431dd5186f2b29313e1103fad,Activiti,0,0,0,0,1,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,2,5
dcc1905f1b7f4869e81ce83cbc7048eca0058cda,Activiti,0,0,0,14,3,2,0,0,3,0,0,0,2,0,0,0,0,0,0,83,13,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,4,1,3,125,121,4
698a780524cb88a556a568b32d682b39d8ab8d47,Activiti,0,0,0,14,3,4,0,1,4,0,0,0,2,0,0,1,0,0,0,83,15,0,0,7,0,0,2,4,2,0,2,0,0,0,0,0,4,2,2,144,16,128
54f3afd0dc3133d215d199c14d6ab635354a4a9c,Activiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
