sha1,project_name,extra,wasted,rework,Change_Parameter_Type,Change_Return_Type,Change_Variable_Type,Extract_Attribute,Extract_Class,Extract_Interface,Extract_Method,Extract_Subclass,Extract_Superclass,Extract_Variable,Inline_Method,Inline_Variable,Merge_Attribute,Merge_Parameter,Merge_Variable,Move_Attribute,Move_Class,Move_Method,Parameterize_Variable,Pull_Up_Attribute,Pull_Up_Method,Push_Down_Attribute,Push_Down_Method,Rename_Attribute,Rename_Class,Rename_Method,Rename_Parameter,Rename_Variable,Replace_Attribute,Replace_Variable_With_Attribute,Split_Attribute,Split_Parameter,Split_Variable,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
e9cdf18da174446ca4f50c4633f5c7bf37628903,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b276ae100fd03b240b46d00f7c17ea4ee1dcefba,RxJava,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
377effd9ef984225df94d7f78877e7584bbd9264,RxJava,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,3,1,2
778b3e79bc65eca49801616f39ea2142d93982c9,RxJava,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,1,5,3,2
1f48ae1c61c41668f5e063192d0aafb53f988f2a,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971e794bf00a8b120e6eea8f03861285188c78d0,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b35e7f2b686aa9d8071aaf7841c3014cb38bd56c,RxJava,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33857d833814b0a9220ea8e55fa7ad8f15c2a9ac,RxJava,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,RxJava,3,194,27,3,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,0,0,0,0,0,6,3,3,19,8,11
c4e1b3e4ee8b46f77846c5d1e81dae04492eb90e,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a5816950570210eef4857584b1527f3658ca6c2d,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c98d3788497aff16a8280820d3955356e326f0b,RxJava,32,17,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
bf52f3d0b40b0abe1d83a10e19807afdbc1d79cd,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f7b7c2788d60fe91b89a3cc8f33b99c6ba8164ee,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1
ae3b3509ef841eea6defd8a13c62805c74c178d7,RxJava,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9c6dec9a9151aa02d99ac30c4643a3862cb9c961,RxJava,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3
460bb9e4fc7ee88d05d3c08bbae6b022870e8996,RxJava,4,2,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,9,0,9
b010ec33654720c0c0222e0bbc9da2be4af2d408,RxJava,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
76d5136e5cca14cce2e05a65a2372fb69a7505df,RxJava,0,22,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c3ff753848379f9d57f3d11f5e3280b4e9a8734c,RxJava,0,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37a2778e34f702b615054d9c5d3aa12e642c899e,RxJava,0,22,44,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3
cf8327005155dc8fb4b463cd5a90bd786857e476,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1
a33a4fd25ba943e5403447827b7efdb303d85bd2,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10d8ca9e14cb966971f5511cd8bcd2d97ee499c6,RxJava,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3
5a534626799bbf4f653b08b4a6c60023e72492f0,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573ba90838712d2c72e832e06705c59c164edbb9,RxJava,34,16,28,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,5,3,2
96eebf284a7361bd04ff649bd00ea48b6b5102fa,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,2
f4968d6fc6bc9561025ab1c8fea6dc42d0d71ea5,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf5056fafb7354fd37579754ebe0d88a94547896,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2df0beaaad3b8b4b1abdb5b52e3bb2ce9ae62e6e,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77c7011fad51e8d016646d34f18cfccf412654ab,RxJava,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,3,11,0,11
fb0e8b01c9e344de4690f8f8930a274000b9fbe9,RxJava,0,0,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,2,11,0,11
dbf1cb4a4bd512e3997a1bd2f2fd08a7c7dc8495,RxJava,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,4,2,2,15,4,11
a5c28cf7b3c30127900dbec5d3bf637530e90f7a,RxJava,0,0,0,6,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,3,2,1,22,11,11
225c4ad85a21670215bdbb5100663aaf98c62ae4,RxJava,0,19,11,1,4,10,0,2,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5,4,1,28,17,11
001017805340c606097401d1de9a432e005e2fbe,RxJava,0,0,0,6,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,5,4,1,25,23,2
b15f2576133a1fd2ffac120c6b3bfa08217fb916,RxJava,0,0,0,13,1,4,0,2,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,0,8,1,0,3,0,0,0,0,0,0,2,1,1,40,15,25
c0297248533ddefd4f3f4220cd4629511c50fd83,RxJava,2,2,8,11,1,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,0,8,1,3,3,0,0,0,0,0,0,3,1,2,39,25,14
f2e4e8188c3148a72c512487b3c837b12d96203b,RxJava,0,0,0,13,1,4,0,2,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,0,8,1,0,3,0,0,0,0,0,0,1,0,1,40,0,40
48ec950ffd0896f97d8dcb641adc32e71c31cc08,RxJava,27,42,16,6,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,3,4,2,6,9,0,0,0,0,0,0,7,3,4,43,29,14
0bfe5a01c5fe084225eccf216a7310abb6c1ab11,RxJava,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,2,0
d0118b232c0823f88e732fd060a0e17ee3501fb8,RxJava,0,0,0,7,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,0,4,4,3,3,0,0,0,0,0,0,4,4,0,33,33,0
c704c5cbfee653142bcb887c0791330511fbd83a,RxJava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
af3720ea870a13e665773b3b0ff4e8ad4793f27e,RxJava,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,4,1,3,15,13,2
00a362e8a8c7c31490b6f0efbac5cfd9e930834a,RxJava,6,6,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,13,0,13
