sha1,project_name,extra,wasted,rework,Change_Parameter_Type,Change_Return_Type,Change_Variable_Type,Extract_Attribute,Extract_Class,Extract_Interface,Extract_Method,Extract_Subclass,Extract_Superclass,Extract_Variable,Inline_Method,Inline_Variable,Merge_Attribute,Merge_Parameter,Merge_Variable,Move_Attribute,Move_Class,Move_Method,Parameterize_Variable,Pull_Up_Attribute,Pull_Up_Method,Push_Down_Attribute,Push_Down_Method,Rename_Attribute,Rename_Class,Rename_Method,Rename_Parameter,Rename_Variable,Replace_Attribute,Replace_Variable_With_Attribute,Split_Attribute,Split_Parameter,Split_Variable,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
c723bd9305c14014a3c0f5e0c28b13b1e783ecf6,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5cec4721abf02be871913bc01b8a871f744eac4d,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c09c8b88d79ebb3dae3a89304deb0967e06c9ab1,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93408d8901000c2efa31e800f1f144daf6e3bf8c,antlr4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,4
66d82fab9b2e265f659aa830afdab953db34e857,antlr4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,4,0
46094f57ba083f31b327a00e7938ced0829f97e9,antlr4,0,0,0,12,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,1,1,0,42,42,0
9e192fe71ac3d505e4b8c1bb16f87ee445146829,antlr4,0,0,0,14,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,20,20,0
40b3bc0861161540251d0abdec8e8ee43ed57519,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43daec6f5bc5e2c94d0aba6f92f1bc680392877b,antlr4,0,0,0,1,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,0,1,1,0,22,22,0
d06b83fd22a686883e532ac819974d3749dd89f6,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ebb8b3a15b47afde1edfb08fd95fe413dd984304,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b672c31dab41d3ccac1da6bdcd29969c8ba5dcf,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0031075da285b4fa5e520197476e57a88f11abb1,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,3,3,0
27806dc4906135a4a8adca06947009320808b7bc,antlr4,0,111,107,4,7,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,0,0,0,0,0,4,0,4,36,0,36
2b9511f333b5bb70d52675a91f014c42ebbfec32,antlr4,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,4,3,1,12,11,1
f0a852c3d7c94ffeee2673cd52ce0d4d232f3276,antlr4,0,0,0,20,10,26,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,1,8,22,3,1,0,0,0,0,4,1,3,101,72,29
b33f157743b7f0d4a8c8d03de4f2d252cca0043c,antlr4,0,493,493,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,11,0,2,0,0,0,0,0,2,1,1,22,10,12
9b49005f9b46e29bccd20bef39959e1d77946b16,antlr4,0,0,0,22,10,26,0,1,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,4,1,12,22,3,1,0,0,0,0,2,1,1,108,101,7
9792b360b16359cc2f0f1e43c8b0f1b627ab54b7,antlr4,0,0,0,24,11,30,0,1,1,7,0,1,2,0,1,0,0,0,2,0,1,0,0,0,0,0,4,1,17,22,7,1,0,0,0,0,2,1,1,133,108,25
f53b9820baab310a780ae41d53d017c067d68b09,antlr4,0,0,0,24,11,30,0,1,1,7,0,1,2,0,1,0,0,0,2,0,2,0,0,0,0,0,4,1,17,22,7,1,0,0,0,0,2,1,1,134,133,1
1a2094b2ddf798b43b4f5a00db023965d8a120ab,antlr4,0,7,0,9,8,19,0,0,1,7,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,12,1,6,0,0,0,0,0,5,4,1,70,34,36
e9122cafa302f81fce991d9133ddb5c877cfbfdc,antlr4,0,0,6,13,15,34,0,0,1,8,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,15,2,8,0,0,0,0,0,6,5,1,107,106,1
0e23c7e2a3f300566309f21f0d29037db4817a05,antlr4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,2,2,0
995f8e01085356640c5dfdd7ccb13dea4c694820,antlr4,0,0,0,37,26,64,0,1,2,18,0,1,7,0,1,0,0,0,3,0,3,0,0,0,0,2,6,3,32,29,15,1,0,0,0,0,6,1,5,251,134,117
4aee8aa4dcb98f66fe2ddd575f8450019fafc83f,antlr4,0,0,0,3,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,5,2,3,21,13,8
1c68c10599e112fd84ee84e53b7f356a32cb7f84,antlr4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
ce142a2a4cc5fbd904241fe7d3c33a328a7e1d25,antlr4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,8,8,0
a9e74ce3992f18088efe571ac58fe08856c8b258,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
fb03f1e2762f93f7cfa17653f81be6e130671ce8,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,4,4,0
754408da27776b901bf4d6460a5c68d6a31c4119,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79f204ff948a5bc48b3a87cbfb665038f111ef56,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
2d76dd8193661b8a2cefa1c5a1a222069d5ce603,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2fc9760ba7d051ba126bd8d519ecad387f7b5d83,antlr4,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,5,0,5
28ee391c815cb7d0ea5cb221100f1d16fb5fa30e,antlr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
48d663667ba2fd0fdd9c3dfdc305d0e987862bc2,antlr4,2,5,5,15,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,1,0,0,0,2,0,6,4,1,0,0,0,0,0,4,4,0,73,73,0
05ea1bc65f77b8a49eabd34cb59d0d93e6054728,antlr4,0,0,0,46,40,103,1,1,2,24,0,1,9,0,1,0,0,0,3,3,3,0,2,0,1,4,6,5,38,40,19,1,0,0,0,0,24,1,23,353,251,102
b1bcde76b746f1fef82d78e9f478ca51042b7bc4,antlr4,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,4,4,0,12,12,0
6791bf60cf90524ab0b480b1c26c49c5af19389a,antlr4,100,75,42,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,12,0,12
2b5896e83b0b043aaa1ec789fd26e4419fef5e64,antlr4,0,0,1,0,0,2,0,2,0,1,0,1,2,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,2,1,2,0,0,0,0,0,7,5,2,23,10,13
84659203438c9874f364188b5238486208ad0f7a,antlr4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,13,13,0
