sha1,project_name,extra,wasted,rework,Change_Parameter_Type,Change_Return_Type,Change_Variable_Type,Extract_Attribute,Extract_Class,Extract_Interface,Extract_Method,Extract_Subclass,Extract_Superclass,Extract_Variable,Inline_Method,Inline_Variable,Merge_Attribute,Merge_Parameter,Merge_Variable,Move_Attribute,Move_Class,Move_Method,Parameterize_Variable,Pull_Up_Attribute,Pull_Up_Method,Push_Down_Attribute,Push_Down_Method,Rename_Attribute,Rename_Class,Rename_Method,Rename_Parameter,Rename_Variable,Replace_Attribute,Replace_Variable_With_Attribute,Split_Attribute,Split_Parameter,Split_Variable,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
2908d87baa14ab8072620a33b727af195316b4ca,closure-compiler,0,183220,183220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5532991b9075c203e22e92240b9f888007e37492,closure-compiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742b241c87316764d3f700aca14ab05629117f25,closure-compiler,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,5,6,0,6
1440300712ccadd91e77f22d910439618aa16333,closure-compiler,0,205,205,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,2,11,3,8
4fe9bc3091fcd51f1d1a8ed38f5400655c326e6e,closure-compiler,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,5,0,5
44e736a9fab36749761493c6691818cb075a8713,closure-compiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0cef3a4daa54fba49d8e366abe6243834b9c3701,closure-compiler,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,0,6,6,0
9a47c89e13ea581191d6d523c98b116606652ff9,closure-compiler,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1
bec5df8eaa30e01eda2281f1dee586a16e4bebda,closure-compiler,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,5,5,0,8,8,0
3cebc1f2641c08d5a2734efaad8ca3085d315f52,closure-compiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9fb94b367d59b9e4c9e4aa2ea51cdf1add15ebcf,closure-compiler,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,5,5,0
06de1ab5dbde43a55ca8d8b993f793465fd6911a,closure-compiler,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,7,6,1,16,9,7
8cee937fba5a9db178c31ff804703f268e6b8daf,closure-compiler,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,4,0
826db44d8ce9cffeaa3a78c5d40b199be61a77ec,closure-compiler,0,0,0,3,1,2,0,0,0,11,0,1,5,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,7,0,0,0,0,0,21,21,0,53,53,0
7d82409d022e7f4adf6fb7063925327d13fb6481,closure-compiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,1,3,2,1
fcfecfd5fc64389fc06cb69fe5138df73db025fe,closure-compiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e984f29a92c8d3bf9f9f7c5eac49ea491b7a69b1,closure-compiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,3,3,0
3379b92c538024fb275b4f4692443f7629d8a9d9,closure-compiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6af910cfba537139019985e23e86e964943fc7b2,closure-compiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,3,3,0
ab43241f143c688e364fcca58e5de15b068392a9,closure-compiler,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbc3de80a9a30b202709e4aecad9ba4c0c71efc,closure-compiler,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2
dcbffc6d61bb3431d7199dd508827181f6e28955,closure-compiler,0,0,0,0,3,6,0,0,0,15,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,4,1,11,5,2,0,1,0,0,0,20,20,0,54,54,0
23fcc06b4419f4504afe26a1e7e80db1b4f21f7d,closure-compiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f7a42e07126fe196ec3ba3c791514347773f3140,closure-compiler,0,0,4,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,1,0,0,0,0,0,8,8,0,21,21,0
