sha1,project_name,extra,wasted,rework,Change_Parameter_Type,Change_Return_Type,Change_Variable_Type,Extract_Attribute,Extract_Class,Extract_Interface,Extract_Method,Extract_Subclass,Extract_Superclass,Extract_Variable,Inline_Method,Inline_Variable,Merge_Attribute,Merge_Parameter,Merge_Variable,Move_Attribute,Move_Class,Move_Method,Parameterize_Variable,Pull_Up_Attribute,Pull_Up_Method,Push_Down_Attribute,Push_Down_Method,Rename_Attribute,Rename_Class,Rename_Method,Rename_Parameter,Rename_Variable,Replace_Attribute,Replace_Variable_With_Attribute,Split_Attribute,Split_Parameter,Split_Variable,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
3a524adba47955f3eb1cf95bbe656d0449e7bf55,flink,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7412154a06c1ca8aadc16d81696d60b4cf645dcb,flink,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,70,10,4,0,0,0,0,0,4,0,9,3,0,0,0,0,0,0,5,0,5,108,0,108
8e8644d0a5ec5f6be2756f7176979c643e89652d,flink,221,154558,153123,0,2,1,0,0,0,0,0,0,7,0,0,0,0,0,70,10,4,0,0,0,0,0,4,2,9,3,0,0,0,0,0,0,9,2,7,112,2,110
9ecd4da0c845b9a27410bafcffe6426356acebc5,flink,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,1,5,4,1
7e39e6894bc25fbe566008abed02e3fbf23d2771,flink,0,0,0,7,5,27,0,1,0,0,0,0,7,0,0,0,0,0,71,10,10,0,0,0,0,0,8,11,17,20,19,0,0,0,0,0,9,9,0,213,213,0
1da26c62e67e8d9047966fa6e2f7d76918d53a83,flink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcf12fcae3c03e279f55c9ca451a4d3e48b0d4fb,flink,0,31,33,0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,72,10,4,0,0,0,0,0,4,1,9,3,0,0,0,0,0,0,9,1,8,113,3,110
a6bc5055312ee38dfc888ec25f4ff41edf1432a1,flink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7d071fda8d7f765f9775b1e5c4baefcaf5446d40,flink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
cde31a668aeab34f66e167883c21622ad6f74299,flink,0,0,0,0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,72,10,4,0,0,0,0,0,4,1,9,3,0,0,0,0,0,0,2,1,1,113,0,113
296a57a06d51684078ab066088851a03be6fda0a,flink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d4289580bde6f4f9463cc2316b1f2c7728acdaf8,flink,0,0,0,0,2,1,0,0,0,3,0,0,6,0,0,0,0,0,73,10,4,0,0,0,0,0,5,1,9,3,2,0,0,0,0,0,4,4,0,119,119,0
778a2f2532cce35556d279df9fbcd1b47b25239a,flink,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1,1,0,11,11,0
0044046f59ba40b1f8bbf88267eb1e76793aeebd,flink,4,19,14,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,2,1,1,12,5,7
964b1ee7e5681073055b41074a37a52b1201c81d,flink,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,70,10,4,0,0,0,0,0,4,0,9,3,0,0,0,0,0,0,7,6,1,109,108,1
7c7bf51f622d0e3f561178f9b7f05fba3f420308,flink,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,70,10,4,0,0,0,0,0,4,0,15,3,0,0,0,0,0,0,2,1,1,115,6,109
d7b20e97730843a27c6be78e17fecdcecd5565fe,flink,22,91,7,3,4,8,0,1,0,0,0,1,3,0,1,0,0,0,1,0,2,0,6,12,0,0,0,1,1,0,3,0,1,0,0,0,4,4,0,48,48,0
affe3c2c6e0dac17d025120bc6111e6d51e936b5,flink,0,0,0,1,4,6,0,0,0,3,0,0,16,0,1,0,0,0,143,20,8,0,0,0,0,0,10,1,25,6,5,0,1,0,0,0,8,6,2,250,134,116
098e753ab41b676a3b6e4fed4d23e9df656b0877,flink,0,2317,1264,0,2,1,0,0,0,0,0,0,7,0,0,0,0,0,70,10,4,0,0,0,0,0,4,21,15,3,0,0,0,0,0,0,4,1,3,137,3,134
54ae3f4f0ad6e19cb17df5c927e5fd760ccea91d,flink,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,2,0,2,7,0,7
43dca4645900692cfa1027973195e93fd9e35901,flink,7,18,4,2,4,6,0,0,0,3,0,0,16,0,1,0,0,0,143,20,8,0,0,0,0,0,11,23,25,7,5,0,1,0,0,0,3,2,1,275,257,18
ba9f77650fad7b2fe7101edda4f1fa0cdb6fae61,flink,9,203,172,0,2,1,0,0,0,0,0,0,7,0,0,0,0,0,70,10,4,0,0,0,0,0,4,18,15,3,0,0,0,0,0,0,3,0,3,134,0,134
813cb256ceb5744ba07d06a7a9daa9648ff6f732,flink,0,0,0,0,3,1,0,0,0,0,0,0,7,0,0,0,0,0,70,10,4,0,0,0,0,0,4,18,17,3,0,0,0,0,0,0,3,0,3,137,0,137
84c13e9a9c895aecdd3ce68d801ef8d57aac141b,flink,0,2923,2780,0,5,2,0,0,0,0,0,0,14,0,0,0,0,0,140,20,8,0,0,0,0,0,8,39,32,6,0,0,0,0,0,0,4,1,3,274,137,137
cfe9e45fdd2dcf15f2fb957c2b451f6bd4854ce4,flink,0,0,0,0,8,5,0,0,0,1,0,0,7,0,0,0,0,0,70,10,4,0,0,0,0,0,6,18,23,4,2,0,0,0,0,0,3,1,2,158,137,21
49075c2e59731d477d8a7a56107d43fb729702a6,flink,0,0,0,0,8,5,0,0,0,1,0,0,7,0,0,0,0,0,70,10,4,0,0,0,0,0,6,18,23,4,2,0,0,0,0,0,1,1,0,158,158,0
c8c2a2af1c1eb4262e61020e53366ef99642dad5,flink,0,0,0,3,4,19,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,2,0,3,0,0,0,5,3,2,43,18,25
7ae2933c6f9530ae849139df3a8978e099e8a07d,flink,0,0,0,3,4,19,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,2,0,3,0,0,0,2,1,1,45,43,2
73f60f08df02ee3c157860a0e59d3641ae1c0a92,flink,0,0,0,6,4,23,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,11,3,0,3,0,0,0,2,1,1,62,19,43
5c5e5a31aba4490c4870225be94305ba1fb97906,flink,0,0,0,9,8,42,2,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,4,10,0,12,9,0,6,0,0,0,3,2,1,111,49,62
3f5fe5e0a2c1bde919b21a0d5d18e7e9ccdd5003,flink,0,0,0,3,14,25,0,0,0,1,0,0,15,2,1,0,0,0,140,20,8,0,0,0,0,0,12,44,38,8,4,0,3,0,0,0,4,3,1,338,64,274
ea7547b99fbf033dc466aeecabdaf585321e57fa,flink,0,0,0,9,8,47,2,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,4,11,0,12,10,0,6,0,0,0,5,1,4,119,1,118
849039b9d628619da866e79406950bfe8c8d5fd3,flink,0,0,0,9,8,47,2,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,4,12,0,12,10,0,6,0,0,0,2,1,1,120,1,119
6dc2121a3bcd88428dfd43097b897120950489b6,flink,0,0,0,10,9,47,2,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,4,11,0,14,10,0,6,0,0,0,2,2,0,123,123,0
c284803d1882a481c25e72742e8056607ed06aba,flink,0,0,0,9,8,47,2,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,4,12,0,13,10,0,6,0,0,0,2,1,1,121,1,120
700c39bc0157333366efaf505f4ab3c0d0204a43,flink,17,20,0,21,28,118,4,0,0,1,0,0,16,10,5,0,0,0,70,10,4,0,0,0,0,0,16,46,23,30,24,0,15,0,0,0,8,0,8,441,0,441
1c1e82e0ec7be57365735a684a2ecf83e8730971,flink,0,0,2,18,20,89,2,0,0,1,0,0,14,6,3,0,0,0,70,10,4,0,0,0,0,0,14,37,23,28,17,0,9,0,0,0,10,1,9,365,0,365
63d296c15ce8dce260b312c114abfde2cba38034,flink,0,0,0,21,28,118,4,0,0,1,0,0,16,10,5,0,0,0,70,10,4,0,0,0,0,0,16,46,23,30,26,0,15,0,0,0,2,0,2,443,0,443
5200135b83b6faed16b6176709f84058d19db8ce,flink,0,4265,3900,20,24,95,2,0,0,4,0,0,30,6,4,0,0,0,213,30,12,0,0,0,0,0,25,60,48,35,22,0,10,0,0,0,2,1,1,640,275,365
2086ca12a037660f821b40c5a07b749567640341,flink,0,0,0,21,25,95,2,0,1,7,0,0,30,6,4,0,0,0,213,30,12,0,0,0,0,0,25,60,51,35,22,0,10,0,0,0,5,2,3,649,645,4
f4a4851a03fa1f58e5a15bf21c4d6cc45fea4ca9,flink,1,3,8,6,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,0,6,19,0,19
25558237a0f40f5684fb6bc46365ed163cac456c,flink,0,0,0,10,9,48,2,0,0,3,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,4,12,1,15,11,0,6,0,0,0,5,2,3,131,127,4
2fd7f45bfb224e2e9bbe782ca37184bd88af7167,flink,0,0,0,7,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,3,3,0,23,23,0
c047f3fc38b805d7ad623eb22b7c790d1a83ffd0,flink,0,0,0,22,13,73,6,0,0,3,0,0,8,6,3,0,0,0,0,5,0,0,0,0,0,0,7,18,3,23,13,0,10,0,0,0,8,2,6,213,4,209
a6fb07d7b84e02cd4900fa094d0496ed0d87a18c,flink,0,0,0,22,13,73,6,0,0,3,0,0,8,6,3,0,0,0,0,5,1,0,0,0,0,0,7,18,3,23,13,0,10,0,0,0,2,0,2,214,0,214
453e31b6148fc3e225bb603d4d01a133ac5b3321,flink,0,0,0,7,1,3,1,0,0,0,0,0,2,1,0,0,0,0,0,6,0,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,3,1,2,28,23,5
611ba4ea186bd2283c9877d4ae91577eaa9eaa09,flink,0,2338,2301,29,14,76,7,0,0,3,0,0,10,8,3,0,0,0,0,12,1,0,0,0,0,0,8,19,7,23,17,0,10,0,0,0,5,1,4,247,28,219
f7a10f85155a7b627b44ea8cf511926a8a06a34a,flink,0,0,0,51,27,149,13,0,0,6,0,0,18,14,6,0,0,0,0,17,2,0,0,0,0,0,15,37,10,46,30,0,20,0,0,0,2,1,1,461,214,247
19b7829736e372194c897c6b998a1b6317b80b03,flink,0,0,0,30,14,76,7,0,0,3,0,0,10,9,3,0,0,0,0,12,1,0,0,0,0,0,8,19,8,23,17,0,11,0,0,0,2,1,1,251,4,247
963e3c4f771b6ce02fdfb6d2e611d07e0631a89b,flink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,2,0,2
def00be226eebb03f99133d88d017b19534ac126,flink,0,0,0,30,14,76,7,0,0,3,0,0,10,9,3,0,0,0,0,12,1,0,0,0,0,0,8,19,8,23,19,0,11,0,0,0,2,1,1,253,251,2
666849a12ef87f47b7c1120b2d32324564090e59,flink,0,0,0,30,14,76,7,0,0,3,0,0,10,9,3,0,0,0,0,12,1,0,0,0,0,0,8,19,8,23,21,0,11,0,0,0,2,1,1,255,2,253
e547e0c9e8548fb8622ee79612d210f8659417b1,flink,0,0,0,30,14,76,7,0,0,3,0,0,10,9,3,0,0,0,0,12,1,0,0,0,0,0,9,19,8,23,19,0,11,0,0,0,2,1,1,254,1,253
65faafe12f9651864ad7a360ef48ee9dae8ea2ae,flink,0,0,0,60,30,152,14,0,0,6,0,0,20,18,6,0,0,0,0,24,2,0,0,0,0,0,17,38,16,46,40,0,22,0,0,0,3,2,1,511,257,254
41031d274c3901a71fc8100fc04ec073526113c6,flink,0,0,0,141,71,378,34,0,0,15,0,0,48,41,15,0,0,0,0,53,5,0,0,0,0,0,40,94,34,115,90,0,53,0,0,0,4,2,2,1227,463,764
a7de161894632b7c13ff13a24d1ed97178b6e3fd,flink,0,0,0,60,30,152,14,0,0,6,0,0,20,18,6,0,0,0,0,24,2,0,0,0,0,0,17,38,16,46,40,0,22,0,0,0,1,1,0,511,511,0
aec2ce7e7194e6fa14a6eb9a82e7e57490bcee83,flink,0,0,0,30,14,77,7,0,0,5,0,0,11,9,3,0,0,0,0,12,1,0,0,0,0,0,9,19,10,23,21,0,11,0,0,0,3,2,1,262,8,254
cad3a7c622ebec47b66acca669ca1ff7ca459354,flink,0,0,0,30,14,77,7,0,0,5,0,0,11,9,3,0,0,0,0,12,1,0,0,0,0,0,9,19,10,23,21,0,11,0,0,0,1,0,1,262,0,262
016d3078a9338ec1ae8a321a7c665f9c88be1270,flink,0,0,0,111,55,303,27,0,0,14,0,0,39,32,12,0,0,0,0,41,4,0,0,0,0,0,33,75,28,92,73,0,42,0,0,0,5,2,3,981,463,518
445a2627405354b711e286bfa7fe470cd4ec3626,flink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d9857d9b8058e1b70434036b3ffd7ab69d8a65d7,flink,0,0,0,171,85,455,41,0,0,20,0,0,59,50,18,0,0,0,0,65,6,0,0,0,0,0,49,113,44,138,111,0,64,0,0,0,3,1,2,1489,1227,262
