sha1,project_name,extra,wasted,rework,Change_Parameter_Type,Change_Return_Type,Change_Variable_Type,Extract_Attribute,Extract_Class,Extract_Interface,Extract_Method,Extract_Subclass,Extract_Superclass,Extract_Variable,Inline_Method,Inline_Variable,Merge_Attribute,Merge_Parameter,Merge_Variable,Move_Attribute,Move_Class,Move_Method,Parameterize_Variable,Pull_Up_Attribute,Pull_Up_Method,Push_Down_Attribute,Push_Down_Method,Rename_Attribute,Rename_Class,Rename_Method,Rename_Parameter,Rename_Variable,Replace_Attribute,Replace_Variable_With_Attribute,Split_Attribute,Split_Parameter,Split_Variable,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
d5a4e76ac1de5cf309c6db83506e1868596c6703,hadoop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3bcb44671219e3cc517fe62e3ed7c99ffd3c92f7,hadoop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c98a440a61cfe4d25749ca1f78ce02c1b06b7222,hadoop,0,4675,4442,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,9,0,9,9,0
a594c0ab9119c6bd6f52482623139466f05f9171,hadoop,0,115984,0,10,7,6,1,0,0,16,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,14,0,1,0,0,0,29,29,0,65,65,0
aebdf76f33c55defad9ad61cddafd2dde309d666,hadoop,0,363382,287429,217,176,240,31,13,1,246,4,3,122,22,19,1,5,0,66,25,86,27,5,7,3,20,66,23,120,108,164,0,29,0,0,0,367,1,366,1849,65,1784
218e96a4bfee7c0605c22ff69927550b78025fbe,hadoop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c65a01ea12e8b500bf9d06c1dd9cfcc03bd24c2a,hadoop,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f66ddd4faf4dac07b32e71a19c0dcf2b731e64d,hadoop,0,566825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0ea4b71c9c16281fd99a919dd8b1928eba5d08b,hadoop,1685,1766,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5116ea448720cc8b2b6a955db5cf1e6811494401,hadoop,1871,1959,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
