sha1,project_name,extra,wasted,rework,Change_Parameter_Type,Change_Return_Type,Change_Variable_Type,Extract_Attribute,Extract_Class,Extract_Interface,Extract_Method,Extract_Subclass,Extract_Superclass,Extract_Variable,Inline_Method,Inline_Variable,Merge_Attribute,Merge_Parameter,Merge_Variable,Move_Attribute,Move_Class,Move_Method,Parameterize_Variable,Pull_Up_Attribute,Pull_Up_Method,Push_Down_Attribute,Push_Down_Method,Rename_Attribute,Rename_Class,Rename_Method,Rename_Parameter,Rename_Variable,Replace_Attribute,Replace_Variable_With_Attribute,Split_Attribute,Split_Parameter,Split_Variable,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
198cefa3a9028e12b1b0432cbdc4f4f4b8e24c35,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ac16f5df1767c37d6829a4f2c976886c0ffffab,mockito,3,122,16,0,2,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,0,0,0,0,0,9,8,1,19,18,1
a73a2c44769158a551fb0424cefd241ec382e5b1,mockito,0,0,3,1,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,5,0,5,14,0,14
9eb1a269a5dcb595e4b06c88993fc406119f2623,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,3,0,3,6,0,6
a5fd16a4a8de6cdca1a830e609a0b4a013a163e5,mockito,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0,1,0,0,0,0,0,6,5,1,21,10,11
c1e01f86a7fb1693e516638b6b1ad74fa4cc27a1,mockito,0,0,0,5,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,6,0,6,29,0,29
fb763844ef12e060dd5cc4f919f6dfbbf15d35cd,mockito,0,0,0,5,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,1,0,1,29,0,29
5e7ef66fd469848eee66dcc476f885c4474e75cb,mockito,0,0,0,7,4,1,2,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,5,1,0,0,0,0,0,9,6,3,41,29,12
570cb6d8a0536df272aaa15713cbf9ad7cca970a,mockito,0,0,0,235,88,329,0,2,3,0,1,2,0,2,0,0,0,0,1,3,9,0,2,7,2,3,0,4,0,6,0,0,0,0,0,0,22,21,1,699,693,6
ff32a690a2cc73d709ec7d079ee73d92eba99183,mockito,227,3781,3554,275,119,349,3,5,4,8,1,4,1,2,1,0,1,1,2,10,10,0,10,10,2,4,6,17,48,23,8,0,0,0,0,0,32,30,2,924,921,3
af4936be9f3c7e4d664e87e2ed47bd9b13c41976,mockito,0,8,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,9,1,8
e51a574c9f65ecd1f677bc8b969f04ce8281234f,mockito,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,4,3,1,29,26,3
264b7307b34a5c9ab80c52166c7b555ac580b802,mockito,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3
1e82d7a95af6d6350fb2029458087352d8110374,mockito,48,14,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,2,1,1,32,3,29
28c45e6095237d358f70df8433d86461b456092e,mockito,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,3,1,2,24,1,23
6c0d2cb4c21d1d0c5fa1570f9d99b4927801e519,mockito,1,39,47,7,8,22,0,1,0,4,2,0,0,0,0,0,0,0,1,26,19,0,0,0,3,12,1,6,95,5,2,0,0,0,0,0,20,10,10,214,99,115
a6ccf070a267e0a165b8efaaefa8938e787bb6a0,mockito,0,0,0,7,8,23,0,1,0,5,2,0,0,0,0,0,0,0,1,26,19,0,0,2,3,12,1,9,130,6,7,0,0,0,0,0,9,4,5,262,35,227
dd88f840041a6dca40be7dc6da8eb1712e26605e,mockito,0,0,4,0,0,1,1,1,1,4,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,1,2,12,4,4,0,0,0,0,0,16,1,15,40,1,39
1a1e0aa1b8a98ee6f2e4bb7766f0a44266924836,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,1,1,4,1,3
a2e592a5ea651c9de0029d584c535b17b55129c2,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
