sha1,project_name,extra,wasted,rework,Change_Parameter_Type,Change_Return_Type,Change_Variable_Type,Extract_Attribute,Extract_Class,Extract_Interface,Extract_Method,Extract_Subclass,Extract_Superclass,Extract_Variable,Inline_Method,Inline_Variable,Merge_Attribute,Merge_Parameter,Merge_Variable,Move_Attribute,Move_Class,Move_Method,Parameterize_Variable,Pull_Up_Attribute,Pull_Up_Method,Push_Down_Attribute,Push_Down_Method,Rename_Attribute,Rename_Class,Rename_Method,Rename_Parameter,Rename_Variable,Replace_Attribute,Replace_Variable_With_Attribute,Split_Attribute,Split_Parameter,Split_Variable,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
dc9d61699d6b7d9ef703bc37f038bdfbda1fcede,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2803b2f34316a65b78aff5c7d5af170f3712fc08,redisson,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,7,0
756461f94b548f772b53933ad408c20a094e81f3,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b41a23858afef33ea259c96982b93df180f55b15,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c8b1fc6c99c9f814f729d08cd9a8e9bfe407ec2,redisson,0,6,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1
01ccc6868a4dbdd88d64c7963e8f9e9695a56f9e,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96c7a19a03d57984afc54a1c49b9850915a5acea,redisson,0,0,0,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,12,12,0
3afa277e7498cecd8bf3a31a8770c6dde7b6fb34,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
d0fda34eb9ffaae2a91ba70e71a9c1d6cb434a5f,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225cda9edb2f21961515c6c1343215e670617856,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81fa07d1252c84fd145472552ce082bc2da52cc8,redisson,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,5,0
3c917d81ec5ce324253b557122f15b3b20f9850d,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae69839a66121a585a41d7fc6ab869c48298cf39,redisson,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,11,0
13ab778b1c1a7a7445fc6cb9fac8906ff55f98bf,redisson,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,4,0
73da334fd7075cbd6c7a50d1f9d9020e3ebf4e00,redisson,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,6,6,0
6fec13b0d1964ec5caf86e69b7842564ac8749dc,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3bb8ebc1efdfad88dcc4f5014e47f30d6ce59279,redisson,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,8,0
0f99ff00b13c84dad4301b687b7182ba1ebfd554,redisson,0,0,0,5,0,11,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,2,1,22,2,20
b4969118a6e46a39bb943025f4f4d12f1e163e6f,redisson,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef0d53e21d81f8009d8725c6869c2c5dd565294d,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38a9740d5a4af758c52d0a9cfb399e178537f990,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,2,0
12b6fd057b9b1a3dce4be1290d9d336fabcd7b82,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,2,0
2ea7ff44e1f9ce0053da749d400e00df0f9273c0,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9af78c57880088122edce1664084d6b39ed24467,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
05d2a7cf8cf7de1c91e9ec8766eb5b3afb939152,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949d90ceafe71de8c4fdc47d1e46fab9bca2caf5,redisson,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
373b686a1551214e65760424895acf5dd0100d24,redisson,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
6adf6ecbd69152fc1e5ad8575d9457aef8814260,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64ba7ead83b5addca98259acc07da62ee7585ef4,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dea0944db998ea4f4d66b8ced8932753c7fad975,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3919308889fa13865924e3276762ca828e98ac23,redisson,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
742483c206f7ab740978dcaf70b204a6d86a14a7,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ee4044afaff8ea84ccd8d3b0be1dd5983956e742,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66d725582fdafe54852b5e849f0318a03e780f8f,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6dcd68e39a16ec074e971ba789a1483a29144ed9,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b8ee305519a972659ea31eb06bb7d4d2bc987a9d,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77b3e979e2de953028b1907f5a5f746f761b44c9,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc0b8478224405c189375c4aa164c3fe3af7a530,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196e0449c8d11d377bd47c86eb475328e4d7d453,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80c6e07fa617e1a3d2334071c3bd66bd51dbd98b,redisson,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,5,5,0
b770d4ed81c1c1ee59855f6a9b521eeada9a8f5d,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4e83f4e1243297f8983949211e2c9d1aa6e5b10f,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
003bd0a185e27189d3ebf4daea9dc4b9b30d15ff,redisson,4,8,48,2,9,5,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,18,17,1,33,32,1
2d2cdc14b64f330d5f63520c46795bd39fb7e85d,redisson,0,0,4,2,9,6,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,2,1,1,34,33,1
16e770cd461e8cfc65fe6d775cb329804e413f0f,redisson,5,13,10,46,65,42,0,0,1,7,0,0,5,1,1,0,0,0,2,14,2,0,0,0,0,0,7,10,15,11,3,0,0,0,0,0,28,28,0,232,232,0
7d08c380da80380c1a92d0ddc503617d627795a8,redisson,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
4c88e3af6adc33dc5e09a9fe61fe1102b2685b72,redisson,36,42,5,22,21,14,0,2,12,43,0,1,0,0,0,0,0,0,2,6,45,0,0,38,0,0,3,1,3,18,0,0,0,0,0,0,26,26,0,231,231,0
61a0efef32b57bcbd63bc78ac5b869fc888bc9ad,redisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,2,0
