sha1,project_name,extra,wasted,rework,Change_Parameter_Type,Change_Return_Type,Change_Variable_Type,Extract_Attribute,Extract_Class,Extract_Interface,Extract_Method,Extract_Subclass,Extract_Superclass,Extract_Variable,Inline_Method,Inline_Variable,Merge_Attribute,Merge_Parameter,Merge_Variable,Move_Attribute,Move_Class,Move_Method,Parameterize_Variable,Pull_Up_Attribute,Pull_Up_Method,Push_Down_Attribute,Push_Down_Method,Rename_Attribute,Rename_Class,Rename_Method,Rename_Parameter,Rename_Variable,Replace_Attribute,Replace_Variable_With_Attribute,Split_Attribute,Split_Parameter,Split_Variable,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
461e9b58c37c213c2c0ff7cf508685be6aa16fc1,zaproxy,0,27,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,6,0,6
2378a96d74d1c49c687df2e1757221afe9047efa,zaproxy,0,0,0,10,3,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,10,4,0,0,0,0,0,2,2,0,38,38,0
2936b6bbefd4a2d192d44f590e927eeafaa12c1d,zaproxy,1103,78,0,4,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,5,4,1,24,24,0
a637e119d6f0830b4846a136d59ca9e570980a89,zaproxy,0,27,1,6,3,6,1,0,0,7,0,0,10,0,1,0,0,0,2,37,0,0,0,0,0,0,1,5,1,14,2,0,3,0,0,0,11,4,7,99,41,58
9f5daa44fff9395e77fb92acf2a9fe25ee79c122,zaproxy,0,2,2,30,17,16,2,6,1,20,0,3,14,0,1,0,0,0,14,55,8,0,1,3,2,0,22,12,29,43,8,0,5,1,0,0,13,9,4,313,307,6
6d95b5d0057ed1d6ea5978fd5abede025d7bba6e,zaproxy,0,9,3,6,4,7,6,0,0,7,0,0,8,0,0,0,0,0,0,38,0,0,0,1,0,0,8,5,18,9,8,0,0,0,0,0,30,18,12,125,61,64
d7e4a7210da730b5fd3720c9592003bebb6c88bc,zaproxy,0,533,533,6,6,9,6,0,0,9,0,0,9,0,0,0,0,0,0,38,0,0,0,1,0,0,8,5,18,9,14,0,0,0,0,0,7,6,1,138,133,5
8b46735afcc419ea74ede439ad6b5da002d055cc,zaproxy,0,1,1,31,18,17,2,8,1,25,0,3,15,0,1,0,0,0,18,56,13,0,1,3,2,0,23,15,33,44,14,0,5,1,0,0,8,7,1,349,344,5
1507dfbc7eafc3c9830f348f74069563876296c7,zaproxy,7,26,17,39,21,27,2,8,1,28,0,4,16,0,1,0,0,0,19,59,20,0,1,4,2,0,31,17,50,51,20,0,5,1,0,0,8,3,5,427,379,48
c92c3969d5c45e39830eae9acd5c875ed86ee4e2,zaproxy,19,0,2,23,7,4,1,5,1,11,0,3,2,0,0,0,0,0,8,17,7,0,0,2,2,0,19,4,28,27,6,0,2,0,0,0,6,0,6,179,0,179
6a5a6a438ddf6d73fc6386998987655c2dccdb82,zaproxy,0,0,0,23,7,4,1,5,1,11,0,3,2,0,0,0,0,0,8,17,7,0,0,2,2,0,19,4,28,27,6,0,2,0,0,0,1,1,0,179,179,0
dc0690d5f7a97899184ec48ec4f05bbda47b2710,zaproxy,0,64,2,1,2,0,0,0,0,5,0,0,0,0,5,0,0,0,2,0,3,0,0,0,0,0,2,0,3,4,1,0,0,0,0,0,11,0,11,28,0,28
e2ba316ea75d9cf2af94c6b30687b2abca063b08,zaproxy,105,791,42,30,22,10,1,9,1,27,2,4,7,1,5,0,1,0,23,22,20,1,0,6,8,10,26,10,46,40,8,0,2,1,0,0,20,6,14,343,139,204
7831e3fd2d431a2042d284464e4eac09dc8b3c95,zaproxy,5,186,0,26,12,5,1,5,1,16,0,3,2,0,5,0,0,0,10,20,15,0,0,2,2,0,29,4,46,34,12,0,2,0,0,0,19,0,19,252,0,252
0f476dedf027c902cdf8f611f9444e6304fbe616,zaproxy,5,838,655,42,33,9,2,5,1,16,0,3,3,1,5,0,0,0,10,20,16,0,0,2,2,0,33,6,67,36,12,0,2,0,0,0,9,2,7,326,32,294
1c9967d51e4084a5f62c148f377d2d89dbebc251,zaproxy,6,35,9,98,77,67,3,15,2,44,2,7,13,4,10,0,1,0,35,42,39,1,0,8,10,10,75,19,125,88,52,0,4,1,0,0,9,6,3,852,523,329
32b601fecb570b9537ce20e9e289581957e7e424,zaproxy,0,0,0,47,40,19,2,5,1,22,0,3,4,1,10,0,0,0,13,20,20,0,0,2,2,0,44,6,81,41,18,0,2,0,0,0,11,4,7,403,70,333
0979f3f0c68a819c34036c92ea267798c6b97ac6,zaproxy,0,0,0,47,43,19,2,5,1,22,0,3,4,1,10,0,0,0,13,20,20,0,0,2,2,0,44,6,83,41,18,0,2,0,0,0,4,4,0,408,408,0
43926eab49fb3f98f9b2300d3b3f80dcf959810a,zaproxy,4,2,2,98,81,72,3,15,2,45,2,7,13,4,10,0,1,0,35,42,39,1,0,8,10,10,82,19,133,88,55,0,4,1,0,0,6,2,4,880,853,27
