commit_hash,total_refactorings,extract_method,inline_method,rename_method,total_tests_before_refactorings,total_tests_after_refactoring,test_coverage_before_refactorings,test_coverage_after_refactorings,refactoring_coverage_impact,avg_commits_before_testing,sha1_merge_commit,type_branch
a7a98d0c8f6e233a45508211c9f812adbe8ee05f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5908959bba662fb07e2633ebbd1e9d99234f6291,1
0080e0e8adb4f159cfec8f1775354f4dfd3b3224,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5908959bba662fb07e2633ebbd1e9d99234f6291,2
ab829b26f907cf239a97c9d28cfe270c23871c97,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5908959bba662fb07e2633ebbd1e9d99234f6291,2
db355d8f8d6b931461b68d634e0cb48c27ed5632,6,0,0,6,0,0,0.0,0.0,0.0,0.0,1b9525f2f240a60445c14ddbcef45ec01efc44e0,1
4c75753bcc153f9c6feb4376419a2fc333ac6e85,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1b9525f2f240a60445c14ddbcef45ec01efc44e0,2
9c652a9b0b2653cf30fd5cacac560788f53e6dad,5,5,0,0,0,0,0.0,0.0,0.0,0.0,1b9525f2f240a60445c14ddbcef45ec01efc44e0,2
5908959bba662fb07e2633ebbd1e9d99234f6291,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1b9525f2f240a60445c14ddbcef45ec01efc44e0,2
f42485c006d2cef95f5ea067ca29d8a270b2f843,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1b9525f2f240a60445c14ddbcef45ec01efc44e0,2
f1b9d2f8250b379cfba6b012d5f325dd809aadd5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1b9525f2f240a60445c14ddbcef45ec01efc44e0,2
5473070405a108f71afd818fb8df04d7489df4db,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1b9525f2f240a60445c14ddbcef45ec01efc44e0,2
d05dba8345291bc20de02f4a3bca9485ea038ff2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1b9525f2f240a60445c14ddbcef45ec01efc44e0,2
