commit_hash,total_refactorings,extract_method,inline_method,rename_method,total_tests_before_refactorings,total_tests_after_refactoring,test_coverage_before_refactorings,test_coverage_after_refactorings,refactoring_coverage_impact,avg_commits_before_testing,sha1_merge_commit,type_branch
7c28a7637fbaf8c78ee8efcdae85592663960ea6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e9cdf18da174446ca4f50c4633f5c7bf37628903,1
bc662051d8c72ea7b20350b1746e1a8f527c9244,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e9cdf18da174446ca4f50c4633f5c7bf37628903,2
d58d3b3ca405a5bd151f3958893715971d28a89e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b276ae100fd03b240b46d00f7c17ea4ee1dcefba,1
24c067384ef3ab583e86c26dbae472601633fbc3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b276ae100fd03b240b46d00f7c17ea4ee1dcefba,1
88b722b238353fbb705e71f84f458fb1511a27d0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b276ae100fd03b240b46d00f7c17ea4ee1dcefba,2
a2a215e413d04c5b8f5ed1abfd164658d84388b0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b276ae100fd03b240b46d00f7c17ea4ee1dcefba,2
e0ef8e6824cdffb0007ac312d81767f061828d21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b276ae100fd03b240b46d00f7c17ea4ee1dcefba,2
b764ef1b1d76e8ecc9d7a826ee57023ea91c6327,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b276ae100fd03b240b46d00f7c17ea4ee1dcefba,2
88b722b238353fbb705e71f84f458fb1511a27d0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,377effd9ef984225df94d7f78877e7584bbd9264,1
a2a215e413d04c5b8f5ed1abfd164658d84388b0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,377effd9ef984225df94d7f78877e7584bbd9264,1
e0ef8e6824cdffb0007ac312d81767f061828d21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,377effd9ef984225df94d7f78877e7584bbd9264,1
b764ef1b1d76e8ecc9d7a826ee57023ea91c6327,0,0,0,0,0,0,0.0,0.0,0.0,0.0,377effd9ef984225df94d7f78877e7584bbd9264,1
ca75023748036f3f5d7684e785b62d00463935a1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,377effd9ef984225df94d7f78877e7584bbd9264,1
967337e24e594c9a0fc19436b993ce549c93d288,0,0,0,0,0,0,0.0,0.0,0.0,0.0,377effd9ef984225df94d7f78877e7584bbd9264,2
c7f554f26d4ce3439299d772b7d3ea91071decb5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,377effd9ef984225df94d7f78877e7584bbd9264,2
377effd9ef984225df94d7f78877e7584bbd9264,0,0,0,0,0,0,0.0,0.0,0.0,0.0,778b3e79bc65eca49801616f39ea2142d93982c9,1
a1f6e0bdf7e8a352ea1d3712623c52e5c81adf81,0,0,0,0,0,0,0.0,0.0,0.0,0.0,778b3e79bc65eca49801616f39ea2142d93982c9,2
031af80c334410a4566bf38eab8ce0c384f818e3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,778b3e79bc65eca49801616f39ea2142d93982c9,2
451ba0323bad83c8ffdbaf555de20a438e393ad5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,778b3e79bc65eca49801616f39ea2142d93982c9,2
b29a96a3e54cef5acc40eaf16dd561e945c9c380,0,0,0,0,0,0,0.0,0.0,0.0,0.0,778b3e79bc65eca49801616f39ea2142d93982c9,2
71dd1b3694d2d54fd945539acd82e89c1222e466,0,0,0,0,0,0,0.0,0.0,0.0,0.0,778b3e79bc65eca49801616f39ea2142d93982c9,2
e69b5961bee80fdc511b5343654264ba92e2009b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1f48ae1c61c41668f5e063192d0aafb53f988f2a,1
caf3a9434ed4b3b4efba6661891f02417aebf604,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1f48ae1c61c41668f5e063192d0aafb53f988f2a,2
8501c6234f73a50257a394ebd67379504ac29197,0,0,0,0,0,0,0.0,0.0,0.0,0.0,971e794bf00a8b120e6eea8f03861285188c78d0,1
e6ded5219195ea90e37cdd2f3b21db6d52531ee1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,971e794bf00a8b120e6eea8f03861285188c78d0,2
66fda0543efe499e1c20897649727ae1bd08ad99,0,0,0,0,0,0,0.0,0.0,0.0,0.0,971e794bf00a8b120e6eea8f03861285188c78d0,2
971e794bf00a8b120e6eea8f03861285188c78d0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b35e7f2b686aa9d8071aaf7841c3014cb38bd56c,1
e3571af4af33a5f939e184c8b1f0ac0507d70123,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b35e7f2b686aa9d8071aaf7841c3014cb38bd56c,2
b35e7f2b686aa9d8071aaf7841c3014cb38bd56c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33857d833814b0a9220ea8e55fa7ad8f15c2a9ac,1
4c5c41364411e062d5d71f22ce311700d045821b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33857d833814b0a9220ea8e55fa7ad8f15c2a9ac,2
2f40ce3e2a5e244315c16865967f58930f57cf7c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33857d833814b0a9220ea8e55fa7ad8f15c2a9ac,2
fa37722ea7461771f11658bf9f49a5514a0dc97f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33857d833814b0a9220ea8e55fa7ad8f15c2a9ac,2
58ebd1b7f1a1b9370762dd4c3cfa615d94376f66,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33857d833814b0a9220ea8e55fa7ad8f15c2a9ac,2
18fbf8712e4530014371be51e14a8e839c80244b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33857d833814b0a9220ea8e55fa7ad8f15c2a9ac,2
d0e0fd7dabe851fc055378c1857896765a1ab2a8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
1f48ae1c61c41668f5e063192d0aafb53f988f2a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
6e58701bd3035623259fa4edc748f237940d727e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
6d238a8fad5302fff90f9be752288576c4ca08f0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
671c9315315beaa4f909a5875549c927141cadf3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
28b4ac549e5cc240ef4becf6a2acb70fccb3cbe7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
285fb0caacf65ffbfd2870d8b72dda80ede26ef2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
cdfc59114252e341876011635505092aebd8da6a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
d2dc9b85aea0df797ea23219b743b826330bc81c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
142d17dedfd1cbd613dd985ba4dba08dfaf64e23,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
d25a017426d5b3fea78cc97b7f27551f3a52272e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
0b38d4f74e0fc4ac0b94e284308426e9766198e5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
61bcf792ef5e6be9e477891294dfcb7fce7c272b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
971e794bf00a8b120e6eea8f03861285188c78d0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
33857d833814b0a9220ea8e55fa7ad8f15c2a9ac,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
23872ddfbc3dcce0462123a9f969c1e9c3fe5b23,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,1
