commit_hash,total_refactorings,extract_method,inline_method,rename_method,total_tests_before_refactorings,total_tests_after_refactoring,test_coverage_before_refactorings,test_coverage_after_refactorings,refactoring_coverage_impact,avg_commits_before_testing,sha1_merge_commit,type_branch
3cefd3832f720293d86d7ac3f7262b463744f692,0,0,0,0,0,0,0.0,0.0,0.0,0.0,c723bd9305c14014a3c0f5e0c28b13b1e783ecf6,1
433a30c584bbe14afa2fe75514f87e2a4e1c395b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,c723bd9305c14014a3c0f5e0c28b13b1e783ecf6,2
0a5803fab4296d489beec559e2c33118320bccca,0,0,0,0,0,0,0.0,0.0,0.0,0.0,c723bd9305c14014a3c0f5e0c28b13b1e783ecf6,2
dfc3acb39a3d6a72eb52d7e3643840e44c2eb19a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5cec4721abf02be871913bc01b8a871f744eac4d,1
c94037def5f2c09e51e1695bc5966b02ceed442c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5cec4721abf02be871913bc01b8a871f744eac4d,2
6fe8ac1ac65dd2d6cf5dcc08a2b24d8875c80f44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,c09c8b88d79ebb3dae3a89304deb0967e06c9ab1,1
c47c07299a13cd5cb2181fd05f0e89dd62dfc3f2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,c09c8b88d79ebb3dae3a89304deb0967e06c9ab1,2
c09c8b88d79ebb3dae3a89304deb0967e06c9ab1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,93408d8901000c2efa31e800f1f144daf6e3bf8c,1
894a77168dd5194538a1731d9c5ae15befba0bed,0,0,0,0,0,0,0.0,0.0,0.0,0.0,93408d8901000c2efa31e800f1f144daf6e3bf8c,2
93408d8901000c2efa31e800f1f144daf6e3bf8c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66d82fab9b2e265f659aa830afdab953db34e857,1
a5a403514dbdd7fba44b7a216d242281cfe16023,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66d82fab9b2e265f659aa830afdab953db34e857,2
59e4a54faa26f5554a586158a779c47a8355b394,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66d82fab9b2e265f659aa830afdab953db34e857,2
5c79fc600af710ecfbabca1b8b348fc4ee607b77,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66d82fab9b2e265f659aa830afdab953db34e857,2
460e4495b44a87f25f2bd7a4dee78bcabb0f9d8c,5,1,0,4,0,0,0.0,0.0,0.0,0.0,46094f57ba083f31b327a00e7938ced0829f97e9,1
f5f3861cb7627c1faaa30b61ea9de203dd564a9b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46094f57ba083f31b327a00e7938ced0829f97e9,2
40a875927690c2b84e5276c571e9755d24769e03,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46094f57ba083f31b327a00e7938ced0829f97e9,2
9c554a002b8fd9f72a0005c90cb83ac757076a3a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46094f57ba083f31b327a00e7938ced0829f97e9,2
6304a562ea4a5205afe6c6273c6b77e5225460cf,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9e192fe71ac3d505e4b8c1bb16f87ee445146829,1
b686efb293e030ed88f0ddbb5d5dc0d3824e3045,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9e192fe71ac3d505e4b8c1bb16f87ee445146829,1
bf5df307081c18805ec49f7007aff04de8a19334,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9e192fe71ac3d505e4b8c1bb16f87ee445146829,1
d589011ad82968ff6c6b8e70e4eb090eeddfd257,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9e192fe71ac3d505e4b8c1bb16f87ee445146829,1
7fb73a38493492a27f4ba8c5924c01e48a6c6d1e,1,1,0,0,0,0,0.0,0.0,0.0,0.0,9e192fe71ac3d505e4b8c1bb16f87ee445146829,1
702b91fab746b2001ef5c8d9762ae817e8c80812,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9e192fe71ac3d505e4b8c1bb16f87ee445146829,1
ddf946b067247a3040d78fe3cf535b4f6418e380,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9e192fe71ac3d505e4b8c1bb16f87ee445146829,1
467797785f30dd44041162334344cbd1cf60394e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9e192fe71ac3d505e4b8c1bb16f87ee445146829,1
99ce3cba5cfe2ecaa81244e59400fa28f2104be3,1,1,0,0,0,0,0.0,0.0,0.0,0.0,9e192fe71ac3d505e4b8c1bb16f87ee445146829,1
30c58bf8ebbd1b98f42f84888346249c4332d84b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9e192fe71ac3d505e4b8c1bb16f87ee445146829,1
