commit_hash,total_refactorings,extract_method,inline_method,rename_method,total_tests_before_refactorings,total_tests_after_refactoring,test_coverage_before_refactorings,test_coverage_after_refactorings,refactoring_coverage_impact,avg_commits_before_testing,sha1_merge_commit,type_branch
b3f312d71ddbcd458396c5a3a4d44f9affc36330,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2908d87baa14ab8072620a33b727af195316b4ca,1
f964ec0a356f27d8a6fa7081a81dbc8560ab9bae,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2908d87baa14ab8072620a33b727af195316b4ca,1
8fad4fe98d11583685bfde3229fb88035d07d80b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2908d87baa14ab8072620a33b727af195316b4ca,1
add71e12e03fade78b54de760c832bc2930a8417,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2908d87baa14ab8072620a33b727af195316b4ca,1
d0e02f0a0f28397d4c588752743c7e065bdd3a02,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2908d87baa14ab8072620a33b727af195316b4ca,1
e24d72c26b2e2f1c9bbe8cd3e1d641a3cce46543,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2908d87baa14ab8072620a33b727af195316b4ca,1
5ebbf03de4164c666201fb5989687cabbaef48e1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2908d87baa14ab8072620a33b727af195316b4ca,1
220e2dad8d7db6bdb1a58609b86a76bf60d7d1fc,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2908d87baa14ab8072620a33b727af195316b4ca,1
2a234630f9dac8bb0f69401c62a8c45122e65dbe,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2908d87baa14ab8072620a33b727af195316b4ca,2
2908d87baa14ab8072620a33b727af195316b4ca,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5532991b9075c203e22e92240b9f888007e37492,1
ffe7a6309531ec694f049a951889cd16cc3f80bc,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5532991b9075c203e22e92240b9f888007e37492,2
a9596870f684020044ac61a9a188dab3c0ffc251,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5532991b9075c203e22e92240b9f888007e37492,2
9f0a537f3b809afd4253185fcc6f403812608cb2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5532991b9075c203e22e92240b9f888007e37492,2
fd91d0270fb8e029f6460525a928b1522f567406,0,0,0,0,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,1
01fbd3a7d7c6fa2d8ba288cdc2820a169d58ed2d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,2
e87b8b3d8557efa10e6acf301a22ef7245af8733,0,0,0,0,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,2
bd87d240fbeaf8d00c0869b3625d1ba982beb566,0,0,0,0,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,2
e4d0f61c225d9aacd6bf2c7cdbbfe6fba312a9fe,0,0,0,0,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,2
aaf0639b46a6426459ccdd60b9205fcad5c01d8c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,2
7e3ff71630c12fd69bb63e3809f0a2b02e5d283b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,2
e4790ced0b458063af795672b77e0cdec88a4959,0,0,0,0,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,2
c39d685a826ad8892c855dac854e73fdad07e9ee,0,0,0,0,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,2
f0c8cdfa61c63a8bbf6dfcf2f75399ed40ecbaed,0,0,0,0,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,2
c21ecf27a0a03c1dc0d265062575589883b22833,1,0,0,1,0,0,0.0,0.0,0.0,0.0,742b241c87316764d3f700aca14ab05629117f25,2
3095bfd4ca4e389a8d8e9074fa9fe01e8d2ace39,1,0,0,1,0,0,0.0,0.0,0.0,0.0,1440300712ccadd91e77f22d910439618aa16333,1
1ef594db3e26fee65103020d4a9a67ab61e84d0e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1440300712ccadd91e77f22d910439618aa16333,1
b5f32b226b91b62873e7c1c42029057dc6f9f5c8,2,2,0,0,0,0,0.0,0.0,0.0,0.0,1440300712ccadd91e77f22d910439618aa16333,1
742b241c87316764d3f700aca14ab05629117f25,1,0,0,1,0,0,0.0,0.0,0.0,0.0,1440300712ccadd91e77f22d910439618aa16333,2
306f5374534cd5d1d7b2b8fc41e020b8348c1bd2,2,2,0,0,0,0,0.0,0.0,0.0,0.0,1440300712ccadd91e77f22d910439618aa16333,2
0413466968a5d2a72d7d3704b64ed0ee7d55f010,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1440300712ccadd91e77f22d910439618aa16333,2
507aeb0e384ee26971cb16e5806ee0c15aa060cd,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4fe9bc3091fcd51f1d1a8ed38f5400655c326e6e,1
1440300712ccadd91e77f22d910439618aa16333,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4fe9bc3091fcd51f1d1a8ed38f5400655c326e6e,2
b56b884df5a5021f1de3f5eeb6a2df2db1a86b61,1,1,0,0,0,0,0.0,0.0,0.0,0.0,4fe9bc3091fcd51f1d1a8ed38f5400655c326e6e,2
fa4efe64c28ccac2cd85afe9d6f38d9a1e30e9d8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4fe9bc3091fcd51f1d1a8ed38f5400655c326e6e,2
