commit_hash,total_refactorings,extract_method,inline_method,rename_method,total_tests_before_refactorings,total_tests_after_refactoring,test_coverage_before_refactorings,test_coverage_after_refactorings,refactoring_coverage_impact,avg_commits_before_testing,sha1_merge_commit,type_branch
e3efe5ecf10f0eee76064798454345cd51560300,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,1
270191c5bd4c8fdb325913f1ec42774222418caf,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
23b5bc1d068a7f5e5d411a4bf6813a6a026c738b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
4bf5403d6196baaa0c81e2548343f2d5b394e836,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
4e7b26d6ea8736621b4d555c3a31dd840d96a571,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
ede0b07b108cef4d793f023b77e8bbe7091a4545,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
867f633bace3d9498b7d0c98385c5c26631a0991,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
12e2708c079898ba42e16729eca559b4afc119ed,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
0358928a0c6c3a17e17e032d0eb9a92df31ad793,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
7cd3fc7257d94845ce1d8363cec67d5dce107263,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
eafa382fb3b36f182d32fbe42798a54a0763e1de,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
1f003419a5a61c8318c30989cc795426222f80e0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
85ffe89300f2bf9e6569a2fa2b87ed67e3371c60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
a5864369c9faf806631625b733e7b3b8f82d5ec7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
4ec9894e79072f26169337c7da19353f55c1048f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
2f6a72097dc40e8e5440396d40ea83c356389207,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
5a6adb1c503c3d55c4b893454083600230094a56,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
598a24ca576cdf82d51e168352ff7b69de80c71d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
3e65dc91ff6da7e1ae5a457f3e0cca79831935a9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
0233a0c091073ca724a161794bfa6239fb81bb8c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
ea3674d3c5d2988c21249bd7c782d6011579b392,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
14a0fae73d7656f731f0dd451dbf05aae90a0fef,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
e76041e9988a86666861e7ace8c329128faf2687,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
143c8336e252d943005c37cdb6c94fbb046f77c0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
ef20356cf7ef104501d459a086db768230a0c752,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9dd90d7d78f6255375bf96a89daecf6c928d0c1d,2
1d74c38a6dcc7346e6bb7d466836cda59013528e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1a909c23479e39db82f6a9a29d9e960f21fdfda0,1
504dcd58d0ee15e5551c35838dc0e72092e18338,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1a909c23479e39db82f6a9a29d9e960f21fdfda0,1
dca4a552843d51409f7150b0c06ffc9772e16d2c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1a909c23479e39db82f6a9a29d9e960f21fdfda0,1
