commit_hash,total_refactorings,extract_method,inline_method,rename_method,total_tests_before_refactorings,total_tests_after_refactoring,test_coverage_before_refactorings,test_coverage_after_refactorings,refactoring_coverage_impact,avg_commits_before_testing,sha1_merge_commit,type_branch
86b95a064304f062e03632a1726dda2ed2bc1c35,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3a524adba47955f3eb1cf95bbe656d0449e7bf55,1
e37e80464ee0308665fbe3e097fb9bcf621085f9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3a524adba47955f3eb1cf95bbe656d0449e7bf55,2
4cdb77107316f9ece891a9b5781ecf4c10fcb041,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7412154a06c1ca8aadc16d81696d60b4cf645dcb,1
717a37751aa46a8fcd8b46ec5a0c92d7ac43198d,9,0,0,9,0,0,0.0,0.0,0.0,0.0,7412154a06c1ca8aadc16d81696d60b4cf645dcb,2
7ddfb16a047c6de2e8a7f7be6ac43bf66e248e39,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7412154a06c1ca8aadc16d81696d60b4cf645dcb,2
ffbc7e177bca0a84d892514b138d6d208a87f64f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7412154a06c1ca8aadc16d81696d60b4cf645dcb,2
54ee5fa3d278fbfd4ee6850b6e20d04d0d10aea5,1,1,0,0,0,0,0.0,0.0,0.0,0.0,7412154a06c1ca8aadc16d81696d60b4cf645dcb,2
d0ceb1ea335e779c23a62e1f888bf35080d0d472,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7412154a06c1ca8aadc16d81696d60b4cf645dcb,2
8804d5155db296e1064d0e61d149a9a0bba4a538,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7412154a06c1ca8aadc16d81696d60b4cf645dcb,2
e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7412154a06c1ca8aadc16d81696d60b4cf645dcb,2
fcf2afebfb123527f2a72be2392efb35c45ceb2a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7412154a06c1ca8aadc16d81696d60b4cf645dcb,2
6654045d23e2923a56befbb87b64f85a00689b7a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8e8644d0a5ec5f6be2756f7176979c643e89652d,1
e91190fa73030d239f0fbe9e0b50d32c538b74c7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8e8644d0a5ec5f6be2756f7176979c643e89652d,1
2494368325efe32590b25e2d1aa588fddc122391,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8e8644d0a5ec5f6be2756f7176979c643e89652d,1
033b03a76d7be4cdcac358e50f6f772ed5824c0c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8e8644d0a5ec5f6be2756f7176979c643e89652d,1
816369425177cedc696f93b6daeedc31e601dd52,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8e8644d0a5ec5f6be2756f7176979c643e89652d,1
b843f1851c334bd6019fe50a29dd6e460183f69d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8e8644d0a5ec5f6be2756f7176979c643e89652d,1
5cf06bdfb63382cef07b26db0a63045e0e3004de,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8e8644d0a5ec5f6be2756f7176979c643e89652d,1
