commit_hash,total_refactorings,extract_method,inline_method,rename_method,total_tests_before_refactorings,total_tests_after_refactoring,test_coverage_before_refactorings,test_coverage_after_refactorings,refactoring_coverage_impact,avg_commits_before_testing,sha1_merge_commit,type_branch
cef918f39f513616be24fef34ec9c944ac193556,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
15d44937c90381fae37d3d32ab0e0f7448057c83,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
5a1083410b6d2be64f9db4fdeea83fe776f62a4f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
9e70410fd362d58108d5e9ceab7127714d51268a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
e48f2ddbdd12248e0ef1d798b09d2945a75a1be9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
a74356696897b6a341a93d6db36b72425381727e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
5673d7e6d7296647814309657e8442918c7fb909,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
411a06cad38f770ccd27a9f28a143eb8265cef3c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
9ea4720a8c0d6e48ca0c1e1f2274641e8f3039df,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
c99040e4a13f4bade01fc811435689231d4f27e0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
44d0041a587291d9000234945a013c11dd520852,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
e1e961f8eda746df85c9d6cee898a8e72bcb80be,1,0,0,1,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
b3b7d34ed7208bec94ba77acc99ea98dcb333d07,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
6e25540e76a822862162b5bee3cf5436f52ff589,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
255e78acbcd1411d85394e5766a4eb9d1df31173,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94237eb8d1136a89ee27fb401440adaa39d5b7e9,1
