commit_hash,total_refactorings,extract_method,inline_method,rename_method,total_tests_before_refactorings,total_tests_after_refactoring,test_coverage_before_refactorings,test_coverage_after_refactorings,refactoring_coverage_impact,avg_commits_before_testing,sha1_merge_commit,type_branch
b92b23f929dda519518f90df09386c0de45556fd,0,0,0,0,0,0,0.0,0.0,0.0,0.0,dc9d61699d6b7d9ef703bc37f038bdfbda1fcede,1
ee12ab19a349dd99d8a3114937a99db411d7e8c4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,dc9d61699d6b7d9ef703bc37f038bdfbda1fcede,1
3a941a6078cce5691b91014e4ee6077df6cc17dd,0,0,0,0,0,0,0.0,0.0,0.0,0.0,dc9d61699d6b7d9ef703bc37f038bdfbda1fcede,1
f01e1943623e36551f1cd8bbeb98d73a91d2556a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,dc9d61699d6b7d9ef703bc37f038bdfbda1fcede,1
e2f47e7b48bb1e5b293d6e7a65ac1d8d2eee2042,0,0,0,0,0,0,0.0,0.0,0.0,0.0,dc9d61699d6b7d9ef703bc37f038bdfbda1fcede,1
e00d03f1db4b03767642c34a0159e83f7114315d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,dc9d61699d6b7d9ef703bc37f038bdfbda1fcede,1
a751d3c739f05b311d8a03bf96a087e57b703718,0,0,0,0,0,0,0.0,0.0,0.0,0.0,dc9d61699d6b7d9ef703bc37f038bdfbda1fcede,2
4060524c87dd764265976bf45dde7ce40a0e2dc3,1,1,0,0,0,0,0.0,0.0,0.0,0.0,2803b2f34316a65b78aff5c7d5af170f3712fc08,1
82a9ce8c37d19fb98781840196ec3b24cd7bec7c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2803b2f34316a65b78aff5c7d5af170f3712fc08,2
54e3ba41e1ef990320229fbfaed5d03b6fbe0e07,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2c8b1fc6c99c9f814f729d08cd9a8e9bfe407ec2,1
9e1bef29647b4d7f01b1b18fd1c164846f97142a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2c8b1fc6c99c9f814f729d08cd9a8e9bfe407ec2,1
63a2413be58929cd3b15b1cb0094df0531e35e2f,2,1,0,1,0,0,0.0,0.0,0.0,0.0,2c8b1fc6c99c9f814f729d08cd9a8e9bfe407ec2,1
fd0abec113312e51883ce3ec5777f812ba5863b1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2c8b1fc6c99c9f814f729d08cd9a8e9bfe407ec2,2
7111ad2e35e72a01234d5c0cc91b0a0665c1ad74,0,0,0,0,0,0,0.0,0.0,0.0,0.0,01ccc6868a4dbdd88d64c7963e8f9e9695a56f9e,1
10e08245c3172551ea619e790f228e2cf93579ae,0,0,0,0,0,0,0.0,0.0,0.0,0.0,01ccc6868a4dbdd88d64c7963e8f9e9695a56f9e,2
ff288018584169e9eb192360d3d9be605cd0d1c2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,01ccc6868a4dbdd88d64c7963e8f9e9695a56f9e,2
0fc23a6a83be41cab5f559dfbd1d2f7ce31b5413,0,0,0,0,0,0,0.0,0.0,0.0,0.0,96c7a19a03d57984afc54a1c49b9850915a5acea,1
485483821cf81a2fc8d2218c52ab4160796c0224,1,0,1,0,0,0,0.0,0.0,0.0,0.0,96c7a19a03d57984afc54a1c49b9850915a5acea,1
7308ae76067807727ca6f4263594d322bcc571ea,0,0,0,0,0,0,0.0,0.0,0.0,0.0,96c7a19a03d57984afc54a1c49b9850915a5acea,2
fe5ac1669a5e2269031bbee9fa88abbf2c28e7e7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3afa277e7498cecd8bf3a31a8770c6dde7b6fb34,1
f4fcc44a30af538dd8ebfe144115a913cb09325a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3afa277e7498cecd8bf3a31a8770c6dde7b6fb34,2
c7c944ca0f3dedf0044941a09803b5439f9e904e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3afa277e7498cecd8bf3a31a8770c6dde7b6fb34,2
1e98c2393f1f8fff7b7f6d6e9a792cef481475f0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,d0fda34eb9ffaae2a91ba70e71a9c1d6cb434a5f,1
97574c6a120683f99de59f8dc6e9c03311ccc751,0,0,0,0,0,0,0.0,0.0,0.0,0.0,d0fda34eb9ffaae2a91ba70e71a9c1d6cb434a5f,2
38ff8bb373c77553903b5eb23c27008880e32db9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3c917d81ec5ce324253b557122f15b3b20f9850d,1
97eb7771ff268ebca69dab47f992f6a51f615042,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3c917d81ec5ce324253b557122f15b3b20f9850d,1
db826939803e9ab7da8403e331cd95edbc17232f,1,1,0,0,0,0,0.0,0.0,0.0,0.0,3c917d81ec5ce324253b557122f15b3b20f9850d,1
011c11ec6c5951c1f552babc97adabbd239e2507,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3c917d81ec5ce324253b557122f15b3b20f9850d,2
19c6728ae39e5fe32c074fdca9b2a3bbcce8aa4f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3c917d81ec5ce324253b557122f15b3b20f9850d,2
1da7c5a09622e7453791defd905e0cc3d46f1c1c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3c917d81ec5ce324253b557122f15b3b20f9850d,2
0cf87f2a75505035755feb1719a7eb4ea4942de7,7,0,7,0,0,4,0.0,0.5714285714285714,0.5714285714285714,0.0,ae69839a66121a585a41d7fc6ab869c48298cf39,1
c80697ceaf449cde6ee0d7ee82bed2df7aeb0d70,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ae69839a66121a585a41d7fc6ab869c48298cf39,2
142c1bacfae3a9f3fff2885fb58ad4251a0aa78f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ae69839a66121a585a41d7fc6ab869c48298cf39,2
f86b4a79a93e49ed125068630748c3a0869834fe,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13ab778b1c1a7a7445fc6cb9fac8906ff55f98bf,1
6677a6c7dc6b3bf39063fd94a44b3c6842fec46b,3,2,0,1,0,0,0.0,0.0,0.0,0.0,13ab778b1c1a7a7445fc6cb9fac8906ff55f98bf,1
96317370c1c728858329563bcbacd30bbba096f8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13ab778b1c1a7a7445fc6cb9fac8906ff55f98bf,2
d8d2fc1a6096981c6c546c1b5b06e723dda29b01,1,0,0,1,0,0,0.0,0.0,0.0,0.0,73da334fd7075cbd6c7a50d1f9d9020e3ebf4e00,1
f3a89f237cf89605350035373d3c77d921c489d7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73da334fd7075cbd6c7a50d1f9d9020e3ebf4e00,2
5fdf24bddb2a5e1215593daa7e518aae99e8f609,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73da334fd7075cbd6c7a50d1f9d9020e3ebf4e00,2
65b0436998c419f290409c20d6cdf74dfe96610f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6fec13b0d1964ec5caf86e69b7842564ac8749dc,1
65dcd48d5793a370a5b24568f15c69bd2f318e9a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6fec13b0d1964ec5caf86e69b7842564ac8749dc,2
504b0175c72ff511895469f39050db5e4bbd2770,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3bb8ebc1efdfad88dcc4f5014e47f30d6ce59279,1
b9fdf55cc56b3decd5a75f44da899cafcb97545a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3bb8ebc1efdfad88dcc4f5014e47f30d6ce59279,2
128129a598e6cccb09b106879ed12753604d6ffa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3bb8ebc1efdfad88dcc4f5014e47f30d6ce59279,2
2cf10d142999e9b0ddf9d64ffc7aeb9de4571b89,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3bb8ebc1efdfad88dcc4f5014e47f30d6ce59279,2
09b23f4a06f08a218df79f1e83f05a0dec5e356b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3bb8ebc1efdfad88dcc4f5014e47f30d6ce59279,2
fbdb92c8d2b002136b0c3ce7f173a907a1e435f8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3bb8ebc1efdfad88dcc4f5014e47f30d6ce59279,2
dc549d71565aed7987e885a38524a033aeed9298,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0f99ff00b13c84dad4301b687b7182ba1ebfd554,1
d26f0db467df2a59bfe9898f505007461371cc36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0f99ff00b13c84dad4301b687b7182ba1ebfd554,1
3bb8ebc1efdfad88dcc4f5014e47f30d6ce59279,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0f99ff00b13c84dad4301b687b7182ba1ebfd554,2
d9b19ff3144b24b8c3a30d8ca05287560628ca98,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0f99ff00b13c84dad4301b687b7182ba1ebfd554,2
c9e4a0f45f5990d746223676a2b77f32b8e263c0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b4969118a6e46a39bb943025f4f4d12f1e163e6f,1
48c26e49648bd07fc364b4eaf9e5bd2b284ea5e6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b4969118a6e46a39bb943025f4f4d12f1e163e6f,2
acd15498aeb72957863245d06fc096a63a213ba9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ef0d53e21d81f8009d8725c6869c2c5dd565294d,1
fd29bedb5f654cb03480a85b5e43ecff7115d1af,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ef0d53e21d81f8009d8725c6869c2c5dd565294d,2
b4a439db535483b1dcf7819d79fa0058bfeab2a1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ef0d53e21d81f8009d8725c6869c2c5dd565294d,2
3470012657bfc3ee9a0644a8dd112a5c89a31a81,1,0,0,1,0,0,0.0,0.0,0.0,0.0,38a9740d5a4af758c52d0a9cfb399e178537f990,1
bca4a172c24c85c2b6cb43b00fd3c372493422e6,1,0,0,1,0,0,0.0,0.0,0.0,0.0,38a9740d5a4af758c52d0a9cfb399e178537f990,1
ef0d53e21d81f8009d8725c6869c2c5dd565294d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,38a9740d5a4af758c52d0a9cfb399e178537f990,1
bb028a59fd055f7dc8db3ae3248932bf8a3b9c02,0,0,0,0,0,0,0.0,0.0,0.0,0.0,38a9740d5a4af758c52d0a9cfb399e178537f990,2
71c78d8bbcdd27f6feec1f5bbb229c8bfec112c7,2,0,0,2,0,0,0.0,0.0,0.0,0.0,12b6fd057b9b1a3dce4be1290d9d336fabcd7b82,1
38a9740d5a4af758c52d0a9cfb399e178537f990,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12b6fd057b9b1a3dce4be1290d9d336fabcd7b82,2
ecc6378d0a94acf3496bad39994b6fe618721a2a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2ea7ff44e1f9ce0053da749d400e00df0f9273c0,1
babc2f0177fdd9fa88cec9c0aea6907535f2f930,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2ea7ff44e1f9ce0053da749d400e00df0f9273c0,1
3331713b54d2aee1110e25d6d667ecca161abf3f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2ea7ff44e1f9ce0053da749d400e00df0f9273c0,2
25698103c8b1b064aed5add0f9664edf086ffdf7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9af78c57880088122edce1664084d6b39ed24467,1
2ea7ff44e1f9ce0053da749d400e00df0f9273c0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9af78c57880088122edce1664084d6b39ed24467,2
39c1477d0092732f4089554113a4e269f5fc58a8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,05d2a7cf8cf7de1c91e9ec8766eb5b3afb939152,1
05d3b3fa732ddeef61bad7c15db074eef06aa150,0,0,0,0,0,0,0.0,0.0,0.0,0.0,05d2a7cf8cf7de1c91e9ec8766eb5b3afb939152,1
