commit_hash,total_refactorings,extract_method,inline_method,rename_method,total_tests_before_refactorings,total_tests_after_refactoring,test_coverage_before_refactorings,test_coverage_after_refactorings,refactoring_coverage_impact,avg_commits_before_testing,sha1_merge_commit,type_branch
29e0c0c985e4f784857918bccc43da1036d5d22a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461e9b58c37c213c2c0ff7cf508685be6aa16fc1,1
cf6d3dac6c9b7d29bce4f7f6bd30b3c2201bad2a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461e9b58c37c213c2c0ff7cf508685be6aa16fc1,1
948da65c1712c635288eb09ede519a341084d866,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461e9b58c37c213c2c0ff7cf508685be6aa16fc1,1
93436ce545153687a815051edee2efa47b50336b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461e9b58c37c213c2c0ff7cf508685be6aa16fc1,1
418b63195de3f7138e9dd3b4e996b3ac2c20916c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461e9b58c37c213c2c0ff7cf508685be6aa16fc1,1
c1ae34432763cc50493b7d9c3740ef3b2a602e1f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461e9b58c37c213c2c0ff7cf508685be6aa16fc1,1
52e2260a32be9b33defa7b34ea2db167f784b243,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461e9b58c37c213c2c0ff7cf508685be6aa16fc1,1
e8ad91baf5c1d7ef0529f9c955603e3fb90a4ca0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461e9b58c37c213c2c0ff7cf508685be6aa16fc1,2
0d4fd2037849e05b532a1b9578ab45810b2445a0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461e9b58c37c213c2c0ff7cf508685be6aa16fc1,2
461e9b58c37c213c2c0ff7cf508685be6aa16fc1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2378a96d74d1c49c687df2e1757221afe9047efa,1
05dd82dc6891bd829132735129ab8f8ced20984c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2378a96d74d1c49c687df2e1757221afe9047efa,1
aa71896dbe25916965820d276450752126f4c554,4,0,1,3,0,0,0.0,0.0,0.0,0.0,2378a96d74d1c49c687df2e1757221afe9047efa,1
4be33194a440f76d2666111a9a90e109c543aff6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2378a96d74d1c49c687df2e1757221afe9047efa,2
45aec9b0032c1ddee43c4d709e5ef8d53fc1e866,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2378a96d74d1c49c687df2e1757221afe9047efa,2
fb5f8f3a5c3582f4d36efdae24824614d7c2999a,1,1,0,0,0,0,0.0,0.0,0.0,0.0,2378a96d74d1c49c687df2e1757221afe9047efa,2
06122e887fdaf3c73e04f36d3ae0ac7fde00267d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2378a96d74d1c49c687df2e1757221afe9047efa,2
2378a96d74d1c49c687df2e1757221afe9047efa,1,1,0,0,0,0,0.0,0.0,0.0,0.0,2936b6bbefd4a2d192d44f590e927eeafaa12c1d,1
bf2735693be6844c433ae51d39725c61831b06d8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2936b6bbefd4a2d192d44f590e927eeafaa12c1d,1
50eb49827d1265099091823b4bb1aa7b7978b45f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2936b6bbefd4a2d192d44f590e927eeafaa12c1d,1
de8913e2f5b7c44b83963905a6c20009e6f85567,1,1,0,0,0,0,0.0,0.0,0.0,0.0,2936b6bbefd4a2d192d44f590e927eeafaa12c1d,1
c3817cab15d783e48c7096da59a8e447b2b12622,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2936b6bbefd4a2d192d44f590e927eeafaa12c1d,1
29a4fc55a33c62de5fdab4826d83330013127a2e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2936b6bbefd4a2d192d44f590e927eeafaa12c1d,1
5ab117ccc748ef51cecaed252c4ba8dec9d43c93,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2936b6bbefd4a2d192d44f590e927eeafaa12c1d,2
2fc357109d41b0efa9305a0e98aecd84c3c24c19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2936b6bbefd4a2d192d44f590e927eeafaa12c1d,2
2936b6bbefd4a2d192d44f590e927eeafaa12c1d,1,1,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,1
2a4d6fd4e2b609a43a980c6481b2f3190ec354cd,4,3,1,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,1
7b07b53a1cec6ef63f4d00b2d3625a8c6f45bba5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,1
2ef640418170bd155a410cd87635e4564bafec74,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,1
8e331fc9cfb485bfdfbdc9b1f723258d846836f9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,1
543533487a2c6d48e98c3adc75261aef32183592,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,1
f060ea7202b6229072c7296a583cea0110788101,3,1,0,2,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,1
64fed6911ccf7ec53754453f96aea7114b868df5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
29cb77bcf5f376af34889355c34dd78e26017aef,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
a97b1c9218393758fddb3dc060701f7dbea8cd92,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
d6a5c5522506e5be823acd5dd615b61b9b10517b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
5706b99ef9e6bbd23c480c1e10e6788352c12e2c,1,1,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
83407f4ecbf518e14e51a0bed293e82dffff9f1a,1,1,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
192d82588767c6840297f01bef8e6ac6640b5243,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
d63496f1ed7d3eba14c45698401ee9f49b14714e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
b4e78d93a20d50073dc11b9c5c4654c2ddc2b983,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
c032227bd56b2423a2d85c2b6af04d47d1668e8c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
3700f2b1dc5644819019330a41c94b4d6b52040d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
a6499e6e82b550c4d2934326f4b3c3da32c14802,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
9a11876ad631891b222c1531454c4e85fe41f69f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
36fd6d442347ae6591582d04fc65ca61a1ede194,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
fd871b48d649ab711e60197af1d548192091caca,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
ebcf6d0c0a17d856fbe2e62d4dd670a63ba77919,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
871f479bdf9385f24fcce873a670ff312dbe12b8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
ecdb7426d514f4f4c6cf85dca89d14874a0dde58,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
5cb2bd89f7057892e77b6884ffbd71cc7dea66e4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a637e119d6f0830b4846a136d59ca9e570980a89,2
a637e119d6f0830b4846a136d59ca9e570980a89,2,2,0,0,0,0,0.0,0.0,0.0,0.0,9f5daa44fff9395e77fb92acf2a9fe25ee79c122,1
